run,n,cls,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d61_seed9,61,B,9000,base,0.311475,0.313961,0.675289,0.003610,0.528396,0.467994,,,
d61_seed9,61,B,9000,surgical,0.312214,0.314768,0.676162,0.003712,0.529159,0.467129,0.030435,0.031309,0.013245
d61_seed9,61,B,9000,noise_only,0.311811,0.314163,0.675155,0.003417,0.527970,0.468613,0.014311,0.014176,0.009291
d63_seed0,63,B,3000,base,0.301083,0.308453,0.645818,0.010544,0.493241,0.496215,,,
d63_seed0,63,B,3000,surgical,0.301146,0.308453,0.646510,0.010455,0.494187,0.495358,0.038990,0.039683,0.022617
d63_seed0,63,B,3000,noise_only,0.301251,0.308600,0.645083,0.010517,0.492067,0.497416,0.018623,0.017889,0.012475
d63_seed0,63,B,5000,base,0.302154,0.309650,0.651927,0.010741,0.501219,0.488040,,,
d63_seed0,63,B,5000,surgical,0.302280,0.309650,0.654321,0.010562,0.504559,0.484879,0.037604,0.039997,0.023451
d63_seed0,63,B,5000,noise_only,0.302385,0.309734,0.651340,0.010534,0.500211,0.489255,0.018288,0.017700,0.031161
d63_seed0,63,B,7000,base,0.303099,0.311602,0.649786,0.012202,0.497469,0.490329,,,
d63_seed0,63,B,7000,surgical,0.303162,0.311665,0.650290,0.012203,0.498147,0.489650,0.034140,0.034643,0.023985
d63_seed0,63,B,7000,noise_only,0.303183,0.311497,0.649723,0.011932,0.497318,0.490750,0.015579,0.015516,0.021614
d63_seed0,63,B,9000,base,0.304548,0.313870,0.653439,0.013405,0.501676,0.484920,,,
d63_seed0,63,B,9000,surgical,0.304674,0.313807,0.656022,0.013135,0.505299,0.481565,0.032943,0.035525,0.030593
d63_seed0,63,B,9000,noise_only,0.304506,0.313660,0.653712,0.013162,0.502098,0.484740,0.016461,0.016734,0.034455
d63_seed1,63,B,3000,base,0.302595,0.309272,0.655077,0.009574,0.505419,0.485007,,,
d63_seed1,63,B,3000,surgical,0.302595,0.308264,0.658919,0.008129,0.510928,0.480943,0.042013,0.045855,0.022489
d63_seed1,63,B,3000,noise_only,0.302721,0.309125,0.655035,0.009184,0.505269,0.485547,0.020786,0.020744,0.031413
d63_seed1,63,B,5000,base,0.303792,0.311350,0.655581,0.010857,0.505293,0.483851,,,
d63_seed1,63,B,5000,surgical,0.304422,0.312169,0.660872,0.011138,0.512451,0.476410,0.039179,0.044470,0.025723
d63_seed1,63,B,5000,noise_only,0.303792,0.311602,0.655602,0.011219,0.505323,0.483458,0.019442,0.019463,0.031405
d63_seed1,63,B,7000,base,0.314059,0.321177,0.676241,0.010376,0.528007,0.461616,,,
d63_seed1,63,B,7000,surgical,0.314437,0.321744,0.678571,0.010658,0.531147,0.458196,0.028849,0.031179,0.008734
d63_seed1,63,B,7000,noise_only,0.314080,0.321198,0.675401,0.010377,0.526769,0.462854,0.014697,0.013857,0.014362
d63_seed1,63,B,9000,base,0.405518,0.408289,0.860040,0.004662,0.764569,0.230769,,,
d63_seed1,63,B,9000,surgical,0.404447,0.407911,0.851978,0.005817,0.751454,0.242729,0.035525,0.027463,0.017730
d63_seed1,63,B,9000,noise_only,0.404237,0.407134,0.856345,0.004863,0.758874,0.236263,0.017259,0.013563,0.021525
d63_seed2,63,A,3000,base,0.301398,0.307004,0.656337,0.008025,0.508070,0.483906,,,
